dateRep;month;countriesAndTerritories;continentExp;cases;deaths;life_expectancy;population
21/11/2020;11;Faroe Islands;#N/D;0;0;;
20/11/2020;11;Faroe Islands;#N/D;0;0;;
19/11/2020;11;Faroe Islands;#N/D;0;0;;
18/11/2020;11;Faroe Islands;#N/D;0;0;;
17/11/2020;11;Faroe Islands;#N/D;0;0;;
16/11/2020;11;Faroe Islands;#N/D;1;0;;
15/11/2020;11;Faroe Islands;#N/D;0;0;;
14/11/2020;11;Faroe Islands;#N/D;0;0;;
13/11/2020;11;Faroe Islands;#N/D;0;0;;
12/11/2020;11;Faroe Islands;#N/D;0;0;;
11/11/2020;11;Faroe Islands;#N/D;0;0;;
10/11/2020;11;Faroe Islands;#N/D;0;0;;
9/11/2020;11;Faroe Islands;#N/D;2;0;;
8/11/2020;11;Faroe Islands;#N/D;0;0;;
7/11/2020;11;Faroe Islands;#N/D;0;0;;
6/11/2020;11;Faroe Islands;#N/D;0;0;;
5/11/2020;11;Faroe Islands;#N/D;0;0;;
4/11/2020;11;Faroe Islands;#N/D;0;0;;
3/11/2020;11;Faroe Islands;#N/D;0;0;;
2/11/2020;11;Faroe Islands;#N/D;0;0;;
1/11/2020;11;Faroe Islands;#N/D;1;0;;
31/10/2020;10;Faroe Islands;#N/D;0;0;;
30/10/2020;10;Faroe Islands;#N/D;0;0;;
29/10/2020;10;Faroe Islands;#N/D;0;0;;
28/10/2020;10;Faroe Islands;#N/D;4;0;;
27/10/2020;10;Faroe Islands;#N/D;0;0;;
26/10/2020;10;Faroe Islands;#N/D;0;0;;
25/10/2020;10;Faroe Islands;#N/D;0;0;;
24/10/2020;10;Faroe Islands;#N/D;0;0;;
23/10/2020;10;Faroe Islands;#N/D;2;0;;
22/10/2020;10;Faroe Islands;#N/D;0;0;;
21/10/2020;10;Faroe Islands;#N/D;3;0;;
20/10/2020;10;Faroe Islands;#N/D;0;0;;
19/10/2020;10;Faroe Islands;#N/D;2;0;;
18/10/2020;10;Faroe Islands;#N/D;1;0;;
17/10/2020;10;Faroe Islands;#N/D;2;0;;
16/10/2020;10;Faroe Islands;#N/D;2;0;;
15/10/2020;10;Faroe Islands;#N/D;1;0;;
14/10/2020;10;Faroe Islands;#N/D;0;0;;
13/10/2020;10;Faroe Islands;#N/D;0;0;;
12/10/2020;10;Faroe Islands;#N/D;0;0;;
11/10/2020;10;Faroe Islands;#N/D;0;0;;
10/10/2020;10;Faroe Islands;#N/D;0;0;;
9/10/2020;10;Faroe Islands;#N/D;1;0;;
8/10/2020;10;Faroe Islands;#N/D;1;0;;
7/10/2020;10;Faroe Islands;#N/D;0;0;;
6/10/2020;10;Faroe Islands;#N/D;1;0;;
5/10/2020;10;Faroe Islands;#N/D;1;0;;
4/10/2020;10;Faroe Islands;#N/D;1;0;;
3/10/2020;10;Faroe Islands;#N/D;0;0;;
2/10/2020;10;Faroe Islands;#N/D;5;0;;
1/10/2020;10;Faroe Islands;#N/D;4;0;;
30/9/2020;9;Faroe Islands;#N/D;3;0;;
29/9/2020;9;Faroe Islands;#N/D;0;0;;
28/9/2020;9;Faroe Islands;#N/D;0;0;;
27/9/2020;9;Faroe Islands;#N/D;2;0;;
26/9/2020;9;Faroe Islands;#N/D;3;0;;
25/9/2020;9;Faroe Islands;#N/D;4;0;;
24/9/2020;9;Faroe Islands;#N/D;3;0;;
23/9/2020;9;Faroe Islands;#N/D;11;0;;
22/9/2020;9;Faroe Islands;#N/D;3;0;;
21/9/2020;9;Faroe Islands;#N/D;3;0;;
20/9/2020;9;Faroe Islands;#N/D;1;0;;
19/9/2020;9;Faroe Islands;#N/D;1;0;;
18/9/2020;9;Faroe Islands;#N/D;1;0;;
17/9/2020;9;Faroe Islands;#N/D;0;0;;
16/9/2020;9;Faroe Islands;#N/D;5;0;;
15/9/2020;9;Faroe Islands;#N/D;0;0;;
14/9/2020;9;Faroe Islands;#N/D;5;0;;
13/9/2020;9;Faroe Islands;#N/D;2;0;;
12/9/2020;9;Faroe Islands;#N/D;1;0;;
11/9/2020;9;Faroe Islands;#N/D;0;0;;
10/9/2020;9;Faroe Islands;#N/D;1;0;;
9/9/2020;9;Faroe Islands;#N/D;1;0;;
8/9/2020;9;Faroe Islands;#N/D;0;0;;
7/9/2020;9;Faroe Islands;#N/D;0;0;;
6/9/2020;9;Faroe Islands;#N/D;0;0;;
5/9/2020;9;Faroe Islands;#N/D;1;0;;
4/9/2020;9;Faroe Islands;#N/D;1;0;;
3/9/2020;9;Faroe Islands;#N/D;0;0;;
2/9/2020;9;Faroe Islands;#N/D;0;0;;
1/9/2020;9;Faroe Islands;#N/D;0;0;;
31/8/2020;8;Faroe Islands;#N/D;0;0;;
30/8/2020;8;Faroe Islands;#N/D;0;0;;
29/8/2020;8;Faroe Islands;#N/D;0;0;;
28/8/2020;8;Faroe Islands;#N/D;0;0;;
27/8/2020;8;Faroe Islands;#N/D;0;0;;
26/8/2020;8;Faroe Islands;#N/D;1;0;;
25/8/2020;8;Faroe Islands;#N/D;26;0;;
24/8/2020;8;Faroe Islands;#N/D;0;0;;
23/8/2020;8;Faroe Islands;#N/D;0;0;;
22/8/2020;8;Faroe Islands;#N/D;1;0;;
21/8/2020;8;Faroe Islands;#N/D;1;0;;
20/8/2020;8;Faroe Islands;#N/D;9;0;;
19/8/2020;8;Faroe Islands;#N/D;0;0;;
18/8/2020;8;Faroe Islands;#N/D;1;0;;
17/8/2020;8;Faroe Islands;#N/D;2;0;;
16/8/2020;8;Faroe Islands;#N/D;8;0;;
15/8/2020;8;Faroe Islands;#N/D;0;0;;
14/8/2020;8;Faroe Islands;#N/D;23;0;;
13/8/2020;8;Faroe Islands;#N/D;15;0;;
12/8/2020;8;Faroe Islands;#N/D;11;0;;
11/8/2020;8;Faroe Islands;#N/D;22;0;;
10/8/2020;8;Faroe Islands;#N/D;0;0;;
9/8/2020;8;Faroe Islands;#N/D;0;0;;
8/8/2020;8;Faroe Islands;#N/D;50;0;;
7/8/2020;8;Faroe Islands;#N/D;0;0;;
6/8/2020;8;Faroe Islands;#N/D;14;0;;
5/8/2020;8;Faroe Islands;#N/D;2;0;;
4/8/2020;8;Faroe Islands;#N/D;0;0;;
3/8/2020;8;Faroe Islands;#N/D;0;0;;
2/8/2020;8;Faroe Islands;#N/D;0;0;;
1/8/2020;8;Faroe Islands;#N/D;5;0;;
31/7/2020;7;Faroe Islands;#N/D;0;0;;
30/7/2020;7;Faroe Islands;#N/D;0;0;;
29/7/2020;7;Faroe Islands;#N/D;6;0;;
28/7/2020;7;Faroe Islands;#N/D;23;0;;
27/7/2020;7;Faroe Islands;#N/D;0;0;;
26/7/2020;7;Faroe Islands;#N/D;0;0;;
25/7/2020;7;Faroe Islands;#N/D;0;0;;
24/7/2020;7;Faroe Islands;#N/D;0;0;;
23/7/2020;7;Faroe Islands;#N/D;0;0;;
22/7/2020;7;Faroe Islands;#N/D;0;0;;
21/7/2020;7;Faroe Islands;#N/D;0;0;;
20/7/2020;7;Faroe Islands;#N/D;3;0;;
19/7/2020;7;Faroe Islands;#N/D;0;0;;
18/7/2020;7;Faroe Islands;#N/D;0;0;;
17/7/2020;7;Faroe Islands;#N/D;0;0;;
16/7/2020;7;Faroe Islands;#N/D;0;0;;
15/7/2020;7;Faroe Islands;#N/D;0;0;;
14/7/2020;7;Faroe Islands;#N/D;0;0;;
13/7/2020;7;Faroe Islands;#N/D;0;0;;
12/7/2020;7;Faroe Islands;#N/D;0;0;;
11/7/2020;7;Faroe Islands;#N/D;0;0;;
10/7/2020;7;Faroe Islands;#N/D;0;0;;
9/7/2020;7;Faroe Islands;#N/D;0;0;;
8/7/2020;7;Faroe Islands;#N/D;1;0;;
7/7/2020;7;Faroe Islands;#N/D;0;0;;
6/7/2020;7;Faroe Islands;#N/D;0;0;;
5/7/2020;7;Faroe Islands;#N/D;0;0;;
4/7/2020;7;Faroe Islands;#N/D;0;0;;
3/7/2020;7;Faroe Islands;#N/D;0;0;;
2/7/2020;7;Faroe Islands;#N/D;0;0;;
1/7/2020;7;Faroe Islands;#N/D;0;0;;
30/6/2020;6;Faroe Islands;#N/D;0;0;;
29/6/2020;6;Faroe Islands;#N/D;0;0;;
28/6/2020;6;Faroe Islands;#N/D;0;0;;
27/6/2020;6;Faroe Islands;#N/D;0;0;;
26/6/2020;6;Faroe Islands;#N/D;0;0;;
25/6/2020;6;Faroe Islands;#N/D;0;0;;
24/6/2020;6;Faroe Islands;#N/D;0;0;;
23/6/2020;6;Faroe Islands;#N/D;0;0;;
22/6/2020;6;Faroe Islands;#N/D;0;0;;
21/6/2020;6;Faroe Islands;#N/D;0;0;;
20/6/2020;6;Faroe Islands;#N/D;0;0;;
19/6/2020;6;Faroe Islands;#N/D;0;0;;
18/6/2020;6;Faroe Islands;#N/D;0;0;;
17/6/2020;6;Faroe Islands;#N/D;0;0;;
16/6/2020;6;Faroe Islands;#N/D;0;0;;
15/6/2020;6;Faroe Islands;#N/D;0;0;;
14/6/2020;6;Faroe Islands;#N/D;0;0;;
13/6/2020;6;Faroe Islands;#N/D;0;0;;
12/6/2020;6;Faroe Islands;#N/D;0;0;;
11/6/2020;6;Faroe Islands;#N/D;0;0;;
10/6/2020;6;Faroe Islands;#N/D;0;0;;
9/6/2020;6;Faroe Islands;#N/D;0;0;;
8/6/2020;6;Faroe Islands;#N/D;0;0;;
7/6/2020;6;Faroe Islands;#N/D;0;0;;
6/6/2020;6;Faroe Islands;#N/D;0;0;;
5/6/2020;6;Faroe Islands;#N/D;0;0;;
4/6/2020;6;Faroe Islands;#N/D;0;0;;
3/6/2020;6;Faroe Islands;#N/D;0;0;;
2/6/2020;6;Faroe Islands;#N/D;0;0;;
1/6/2020;6;Faroe Islands;#N/D;0;0;;
31/5/2020;5;Faroe Islands;#N/D;0;0;;
30/5/2020;5;Faroe Islands;#N/D;0;0;;
29/5/2020;5;Faroe Islands;#N/D;0;0;;
28/5/2020;5;Faroe Islands;#N/D;0;0;;
27/5/2020;5;Faroe Islands;#N/D;0;0;;
26/5/2020;5;Faroe Islands;#N/D;0;0;;
25/5/2020;5;Faroe Islands;#N/D;0;0;;
24/5/2020;5;Faroe Islands;#N/D;0;0;;
23/5/2020;5;Faroe Islands;#N/D;0;0;;
22/5/2020;5;Faroe Islands;#N/D;0;0;;
21/5/2020;5;Faroe Islands;#N/D;0;0;;
20/5/2020;5;Faroe Islands;#N/D;0;0;;
19/5/2020;5;Faroe Islands;#N/D;0;0;;
18/5/2020;5;Faroe Islands;#N/D;0;0;;
17/5/2020;5;Faroe Islands;#N/D;0;0;;
16/5/2020;5;Faroe Islands;#N/D;0;0;;
15/5/2020;5;Faroe Islands;#N/D;0;0;;
14/5/2020;5;Faroe Islands;#N/D;0;0;;
13/5/2020;5;Faroe Islands;#N/D;0;0;;
12/5/2020;5;Faroe Islands;#N/D;0;0;;
11/5/2020;5;Faroe Islands;#N/D;0;0;;
10/5/2020;5;Faroe Islands;#N/D;0;0;;
9/5/2020;5;Faroe Islands;#N/D;0;0;;
8/5/2020;5;Faroe Islands;#N/D;0;0;;
7/5/2020;5;Faroe Islands;#N/D;0;0;;
6/5/2020;5;Faroe Islands;#N/D;0;0;;
5/5/2020;5;Faroe Islands;#N/D;0;0;;
4/5/2020;5;Faroe Islands;#N/D;0;0;;
3/5/2020;5;Faroe Islands;#N/D;0;0;;
2/5/2020;5;Faroe Islands;#N/D;0;0;;
1/5/2020;5;Faroe Islands;#N/D;0;0;;
30/4/2020;4;Faroe Islands;#N/D;0;0;;
29/4/2020;4;Faroe Islands;#N/D;0;0;;
28/4/2020;4;Faroe Islands;#N/D;0;0;;
27/4/2020;4;Faroe Islands;#N/D;0;0;;
26/4/2020;4;Faroe Islands;#N/D;0;0;;
25/4/2020;4;Faroe Islands;#N/D;0;0;;
24/4/2020;4;Faroe Islands;#N/D;2;0;;
23/4/2020;4;Faroe Islands;#N/D;0;0;;
22/4/2020;4;Faroe Islands;#N/D;0;0;;
21/4/2020;4;Faroe Islands;#N/D;0;0;;
20/4/2020;4;Faroe Islands;#N/D;1;0;;
19/4/2020;4;Faroe Islands;#N/D;0;0;;
18/4/2020;4;Faroe Islands;#N/D;0;0;;
17/4/2020;4;Faroe Islands;#N/D;0;0;;
16/4/2020;4;Faroe Islands;#N/D;0;0;;
15/4/2020;4;Faroe Islands;#N/D;0;0;;
14/4/2020;4;Faroe Islands;#N/D;0;0;;
13/4/2020;4;Faroe Islands;#N/D;0;0;;
12/4/2020;4;Faroe Islands;#N/D;0;0;;
11/4/2020;4;Faroe Islands;#N/D;0;0;;
10/4/2020;4;Faroe Islands;#N/D;0;0;;
9/4/2020;4;Faroe Islands;#N/D;0;0;;
8/4/2020;4;Faroe Islands;#N/D;1;0;;
7/4/2020;4;Faroe Islands;#N/D;2;0;;
6/4/2020;4;Faroe Islands;#N/D;0;0;;
5/4/2020;4;Faroe Islands;#N/D;2;0;;
4/4/2020;4;Faroe Islands;#N/D;2;0;;
3/4/2020;4;Faroe Islands;#N/D;4;0;;
2/4/2020;4;Faroe Islands;#N/D;4;0;;
1/4/2020;4;Faroe Islands;#N/D;1;0;;
31/3/2020;3;Faroe Islands;#N/D;9;0;;
30/3/2020;3;Faroe Islands;#N/D;4;0;;
29/3/2020;3;Faroe Islands;#N/D;11;0;;
28/3/2020;3;Faroe Islands;#N/D;4;0;;
27/3/2020;3;Faroe Islands;#N/D;8;0;;
26/3/2020;3;Faroe Islands;#N/D;10;0;;
25/3/2020;3;Faroe Islands;#N/D;4;0;;
24/3/2020;3;Faroe Islands;#N/D;3;0;;
23/3/2020;3;Faroe Islands;#N/D;23;0;;
22/3/2020;3;Faroe Islands;#N/D;12;0;;
21/3/2020;3;Faroe Islands;#N/D;8;0;;
20/3/2020;3;Faroe Islands;#N/D;25;0;;
19/3/2020;3;Faroe Islands;#N/D;29;0;;
18/3/2020;3;Faroe Islands;#N/D;7;0;;
17/3/2020;3;Faroe Islands;#N/D;2;0;;
16/3/2020;3;Faroe Islands;#N/D;6;0;;
15/3/2020;3;Faroe Islands;#N/D;0;0;;
14/3/2020;3;Faroe Islands;#N/D;0;0;;
13/3/2020;3;Faroe Islands;#N/D;0;0;;
12/3/2020;3;Faroe Islands;#N/D;0;0;;
11/3/2020;3;Faroe Islands;#N/D;0;0;;
10/3/2020;3;Faroe Islands;#N/D;0;0;;
9/3/2020;3;Faroe Islands;#N/D;0;0;;
8/3/2020;3;Faroe Islands;#N/D;1;0;;
7/3/2020;3;Faroe Islands;#N/D;1;0;;
6/3/2020;3;Faroe Islands;#N/D;1;0;;
14/12/2020;12;Fiji;Oceania;2;0; 67.44 ; 929769.0 
13/12/2020;12;Fiji;Oceania;0;0; 67.44 ; 929769.0 
12/12/2020;12;Fiji;Oceania;0;0; 67.44 ; 929769.0 
11/12/2020;12;Fiji;Oceania;0;0; 67.44 ; 929769.0 
10/12/2020;12;Fiji;Oceania;0;0; 67.44 ; 929769.0 
9/12/2020;12;Fiji;Oceania;0;0; 67.44 ; 929769.0 
8/12/2020;12;Fiji;Oceania;0;0; 67.44 ; 929769.0 
7/12/2020;12;Fiji;Oceania;0;0; 67.44 ; 929769.0 
6/12/2020;12;Fiji;Oceania;0;0; 67.44 ; 929769.0 
5/12/2020;12;Fiji;Oceania;0;0; 67.44 ; 929769.0 
4/12/2020;12;Fiji;Oceania;2;0; 67.44 ; 929769.0 
3/12/2020;12;Fiji;Oceania;0;0; 67.44 ; 929769.0 
2/12/2020;12;Fiji;Oceania;0;0; 67.44 ; 929769.0 
1/12/2020;12;Fiji;Oceania;0;0; 67.44 ; 929769.0 
30/11/2020;11;Fiji;Oceania;4;0; 67.44 ; 929769.0 
29/11/2020;11;Fiji;Oceania;0;0; 67.44 ; 929769.0 
28/11/2020;11;Fiji;Oceania;0;0; 67.44 ; 929769.0 
27/11/2020;11;Fiji;Oceania;0;0; 67.44 ; 929769.0 
26/11/2020;11;Fiji;Oceania;0;0; 67.44 ; 929769.0 
25/11/2020;11;Fiji;Oceania;3;0; 67.44 ; 929769.0 
24/11/2020;11;Fiji;Oceania;0;0; 67.44 ; 929769.0 
23/11/2020;11;Fiji;Oceania;0;0; 67.44 ; 929769.0 
22/11/2020;11;Fiji;Oceania;0;0; 67.44 ; 929769.0 
21/11/2020;11;Fiji;Oceania;0;0; 67.44 ; 929769.0 
20/11/2020;11;Fiji;Oceania;0;0; 67.44 ; 929769.0 
19/11/2020;11;Fiji;Oceania;0;0; 67.44 ; 929769.0 
18/11/2020;11;Fiji;Oceania;0;0; 67.44 ; 929769.0 
17/11/2020;11;Fiji;Oceania;0;0; 67.44 ; 929769.0 
16/11/2020;11;Fiji;Oceania;0;0; 67.44 ; 929769.0 
15/11/2020;11;Fiji;Oceania;0;0; 67.44 ; 929769.0 
14/11/2020;11;Fiji;Oceania;0;0; 67.44 ; 929769.0 
13/11/2020;11;Fiji;Oceania;0;0; 67.44 ; 929769.0 
12/11/2020;11;Fiji;Oceania;0;0; 67.44 ; 929769.0 
11/11/2020;11;Fiji;Oceania;1;0; 67.44 ; 929769.0 
10/11/2020;11;Fiji;Oceania;0;0; 67.44 ; 929769.0 
9/11/2020;11;Fiji;Oceania;0;0; 67.44 ; 929769.0 
8/11/2020;11;Fiji;Oceania;0;0; 67.44 ; 929769.0 
7/11/2020;11;Fiji;Oceania;0;0; 67.44 ; 929769.0 
6/11/2020;11;Fiji;Oceania;0;0; 67.44 ; 929769.0 
5/11/2020;11;Fiji;Oceania;0;0; 67.44 ; 929769.0 
4/11/2020;11;Fiji;Oceania;0;0; 67.44 ; 929769.0 
3/11/2020;11;Fiji;Oceania;0;0; 67.44 ; 929769.0 
2/11/2020;11;Fiji;Oceania;0;0; 67.44 ; 929769.0 
1/11/2020;11;Fiji;Oceania;0;0; 67.44 ; 929769.0 
31/10/2020;10;Fiji;Oceania;0;0; 67.44 ; 929769.0 
30/10/2020;10;Fiji;Oceania;1;0; 67.44 ; 929769.0 
29/10/2020;10;Fiji;Oceania;0;0; 67.44 ; 929769.0 
28/10/2020;10;Fiji;Oceania;0;0; 67.44 ; 929769.0 
27/10/2020;10;Fiji;Oceania;0;0; 67.44 ; 929769.0 
26/10/2020;10;Fiji;Oceania;0;0; 67.44 ; 929769.0 
25/10/2020;10;Fiji;Oceania;0;0; 67.44 ; 929769.0 
24/10/2020;10;Fiji;Oceania;0;0; 67.44 ; 929769.0 
23/10/2020;10;Fiji;Oceania;0;0; 67.44 ; 929769.0 
22/10/2020;10;Fiji;Oceania;0;0; 67.44 ; 929769.0 
21/10/2020;10;Fiji;Oceania;1;0; 67.44 ; 929769.0 
20/10/2020;10;Fiji;Oceania;0;0; 67.44 ; 929769.0 
19/10/2020;10;Fiji;Oceania;0;0; 67.44 ; 929769.0 
18/10/2020;10;Fiji;Oceania;0;0; 67.44 ; 929769.0 
17/10/2020;10;Fiji;Oceania;0;0; 67.44 ; 929769.0 
16/10/2020;10;Fiji;Oceania;0;0; 67.44 ; 929769.0 
15/10/2020;10;Fiji;Oceania;0;0; 67.44 ; 929769.0 
14/10/2020;10;Fiji;Oceania;0;0; 67.44 ; 929769.0 
13/10/2020;10;Fiji;Oceania;0;0; 67.44 ; 929769.0 
12/10/2020;10;Fiji;Oceania;0;0; 67.44 ; 929769.0 
11/10/2020;10;Fiji;Oceania;0;0; 67.44 ; 929769.0 
10/10/2020;10;Fiji;Oceania;0;0; 67.44 ; 929769.0 
9/10/2020;10;Fiji;Oceania;0;0; 67.44 ; 929769.0 
8/10/2020;10;Fiji;Oceania;0;0; 67.44 ; 929769.0 
7/10/2020;10;Fiji;Oceania;0;0; 67.44 ; 929769.0 
6/10/2020;10;Fiji;Oceania;0;0; 67.44 ; 929769.0 
5/10/2020;10;Fiji;Oceania;0;0; 67.44 ; 929769.0 
4/10/2020;10;Fiji;Oceania;0;0; 67.44 ; 929769.0 
3/10/2020;10;Fiji;Oceania;0;0; 67.44 ; 929769.0 
2/10/2020;10;Fiji;Oceania;0;0; 67.44 ; 929769.0 
1/10/2020;10;Fiji;Oceania;0;0; 67.44 ; 929769.0 
30/9/2020;9;Fiji;Oceania;0;0; 67.44 ; 929769.0 
29/9/2020;9;Fiji;Oceania;0;0; 67.44 ; 929769.0 
28/9/2020;9;Fiji;Oceania;0;0; 67.44 ; 929769.0 
27/9/2020;9;Fiji;Oceania;0;0; 67.44 ; 929769.0 
26/9/2020;9;Fiji;Oceania;0;0; 67.44 ; 929769.0 
25/9/2020;9;Fiji;Oceania;0;0; 67.44 ; 929769.0 
24/9/2020;9;Fiji;Oceania;0;0; 67.44 ; 929769.0 
23/9/2020;9;Fiji;Oceania;0;0; 67.44 ; 929769.0 
22/9/2020;9;Fiji;Oceania;0;0; 67.44 ; 929769.0 
21/9/2020;9;Fiji;Oceania;0;0; 67.44 ; 929769.0 
20/9/2020;9;Fiji;Oceania;0;0; 67.44 ; 929769.0 
19/9/2020;9;Fiji;Oceania;0;0; 67.44 ; 929769.0 
18/9/2020;9;Fiji;Oceania;0;0; 67.44 ; 929769.0 
17/9/2020;9;Fiji;Oceania;0;0; 67.44 ; 929769.0 
16/9/2020;9;Fiji;Oceania;0;0; 67.44 ; 929769.0 
15/9/2020;9;Fiji;Oceania;0;0; 67.44 ; 929769.0 
14/9/2020;9;Fiji;Oceania;0;0; 67.44 ; 929769.0 
13/9/2020;9;Fiji;Oceania;0;0; 67.44 ; 929769.0 
12/9/2020;9;Fiji;Oceania;0;0; 67.44 ; 929769.0 
11/9/2020;9;Fiji;Oceania;0;0; 67.44 ; 929769.0 
10/9/2020;9;Fiji;Oceania;1;0; 67.44 ; 929769.0 
9/9/2020;9;Fiji;Oceania;0;0; 67.44 ; 929769.0 
8/9/2020;9;Fiji;Oceania;0;0; 67.44 ; 929769.0 
7/9/2020;9;Fiji;Oceania;0;0; 67.44 ; 929769.0 
6/9/2020;9;Fiji;Oceania;0;0; 67.44 ; 929769.0 
5/9/2020;9;Fiji;Oceania;0;0; 67.44 ; 929769.0 
4/9/2020;9;Fiji;Oceania;2;0; 67.44 ; 929769.0 
3/9/2020;9;Fiji;Oceania;0;0; 67.44 ; 929769.0 
2/9/2020;9;Fiji;Oceania;1;0; 67.44 ; 929769.0 
1/9/2020;9;Fiji;Oceania;0;0; 67.44 ; 929769.0 
31/8/2020;8;Fiji;Oceania;0;0; 67.44 ; 929769.0 
30/8/2020;8;Fiji;Oceania;0;0; 67.44 ; 929769.0 
29/8/2020;8;Fiji;Oceania;0;1; 67.44 ; 929769.0 
28/8/2020;8;Fiji;Oceania;0;0; 67.44 ; 929769.0 
27/8/2020;8;Fiji;Oceania;0;0; 67.44 ; 929769.0 
26/8/2020;8;Fiji;Oceania;0;0; 67.44 ; 929769.0 
25/8/2020;8;Fiji;Oceania;0;0; 67.44 ; 929769.0 
24/8/2020;8;Fiji;Oceania;0;0; 67.44 ; 929769.0 
23/8/2020;8;Fiji;Oceania;0;0; 67.44 ; 929769.0 
22/8/2020;8;Fiji;Oceania;0;0; 67.44 ; 929769.0 
21/8/2020;8;Fiji;Oceania;0;0; 67.44 ; 929769.0 
20/8/2020;8;Fiji;Oceania;0;0; 67.44 ; 929769.0 
19/8/2020;8;Fiji;Oceania;0;0; 67.44 ; 929769.0 
18/8/2020;8;Fiji;Oceania;0;0; 67.44 ; 929769.0 
17/8/2020;8;Fiji;Oceania;1;0; 67.44 ; 929769.0 
16/8/2020;8;Fiji;Oceania;0;0; 67.44 ; 929769.0 
15/8/2020;8;Fiji;Oceania;0;0; 67.44 ; 929769.0 
14/8/2020;8;Fiji;Oceania;0;0; 67.44 ; 929769.0 
13/8/2020;8;Fiji;Oceania;0;0; 67.44 ; 929769.0 
12/8/2020;8;Fiji;Oceania;0;0; 67.44 ; 929769.0 
11/8/2020;8;Fiji;Oceania;0;0; 67.44 ; 929769.0 
10/8/2020;8;Fiji;Oceania;0;0; 67.44 ; 929769.0 
9/8/2020;8;Fiji;Oceania;0;0; 67.44 ; 929769.0 
8/8/2020;8;Fiji;Oceania;0;0; 67.44 ; 929769.0 
7/8/2020;8;Fiji;Oceania;0;0; 67.44 ; 929769.0 
6/8/2020;8;Fiji;Oceania;0;0; 67.44 ; 929769.0 
5/8/2020;8;Fiji;Oceania;0;0; 67.44 ; 929769.0 
4/8/2020;8;Fiji;Oceania;0;0; 67.44 ; 929769.0 
3/8/2020;8;Fiji;Oceania;0;0; 67.44 ; 929769.0 
2/8/2020;8;Fiji;Oceania;0;0; 67.44 ; 929769.0 
1/8/2020;8;Fiji;Oceania;0;1; 67.44 ; 929769.0 
31/7/2020;7;Fiji;Oceania;0;0; 67.44 ; 929769.0 
30/7/2020;7;Fiji;Oceania;0;0; 67.44 ; 929769.0 
29/7/2020;7;Fiji;Oceania;0;0; 67.44 ; 929769.0 
28/7/2020;7;Fiji;Oceania;0;0; 67.44 ; 929769.0 
27/7/2020;7;Fiji;Oceania;0;0; 67.44 ; 929769.0 
26/7/2020;7;Fiji;Oceania;0;0; 67.44 ; 929769.0 
25/7/2020;7;Fiji;Oceania;0;0; 67.44 ; 929769.0 
24/7/2020;7;Fiji;Oceania;0;0; 67.44 ; 929769.0 
23/7/2020;7;Fiji;Oceania;0;0; 67.44 ; 929769.0 
22/7/2020;7;Fiji;Oceania;1;0; 67.44 ; 929769.0 
21/7/2020;7;Fiji;Oceania;0;0; 67.44 ; 929769.0 
20/7/2020;7;Fiji;Oceania;0;0; 67.44 ; 929769.0 
19/7/2020;7;Fiji;Oceania;0;0; 67.44 ; 929769.0 
18/7/2020;7;Fiji;Oceania;0;0; 67.44 ; 929769.0 
17/7/2020;7;Fiji;Oceania;0;0; 67.44 ; 929769.0 
16/7/2020;7;Fiji;Oceania;0;0; 67.44 ; 929769.0 
15/7/2020;7;Fiji;Oceania;0;0; 67.44 ; 929769.0 
14/7/2020;7;Fiji;Oceania;0;0; 67.44 ; 929769.0 
13/7/2020;7;Fiji;Oceania;5;0; 67.44 ; 929769.0 
12/7/2020;7;Fiji;Oceania;0;0; 67.44 ; 929769.0 
11/7/2020;7;Fiji;Oceania;0;0; 67.44 ; 929769.0 
10/7/2020;7;Fiji;Oceania;0;0; 67.44 ; 929769.0 
9/7/2020;7;Fiji;Oceania;2;0; 67.44 ; 929769.0 
8/7/2020;7;Fiji;Oceania;0;0; 67.44 ; 929769.0 
7/7/2020;7;Fiji;Oceania;1;0; 67.44 ; 929769.0 
6/7/2020;7;Fiji;Oceania;0;0; 67.44 ; 929769.0 
5/7/2020;7;Fiji;Oceania;0;0; 67.44 ; 929769.0 
4/7/2020;7;Fiji;Oceania;0;0; 67.44 ; 929769.0 
3/7/2020;7;Fiji;Oceania;0;0; 67.44 ; 929769.0 
2/7/2020;7;Fiji;Oceania;0;0; 67.44 ; 929769.0 
1/7/2020;7;Fiji;Oceania;0;0; 67.44 ; 929769.0 
30/6/2020;6;Fiji;Oceania;0;0; 67.44 ; 929769.0 
29/6/2020;6;Fiji;Oceania;0;0; 67.44 ; 929769.0 
28/6/2020;6;Fiji;Oceania;0;0; 67.44 ; 929769.0 
27/6/2020;6;Fiji;Oceania;0;0; 67.44 ; 929769.0 
26/6/2020;6;Fiji;Oceania;0;0; 67.44 ; 929769.0 
25/6/2020;6;Fiji;Oceania;0;0; 67.44 ; 929769.0 
24/6/2020;6;Fiji;Oceania;0;0; 67.44 ; 929769.0 
23/6/2020;6;Fiji;Oceania;0;0; 67.44 ; 929769.0 
22/6/2020;6;Fiji;Oceania;0;0; 67.44 ; 929769.0 
21/6/2020;6;Fiji;Oceania;0;0; 67.44 ; 929769.0 
20/6/2020;6;Fiji;Oceania;0;0; 67.44 ; 929769.0 
19/6/2020;6;Fiji;Oceania;0;0; 67.44 ; 929769.0 
